Index,0 [STRING] [0x0],1 [INT] [0x4],2 [UBYTE] [0xC],3 [UBYTE] [0xD],4 [INT] [0x8],5 [BOOL] [0xE]
36,"平时基本是迟钝散漫的样子，但是在捕食的时候其灵敏度令人吃惊。据说当初是一位拉拉菲尔的王子引进到艾欧泽亚地区的。",4945,18,2,153,true
37,"在拉诺西亚的河流中随处可见。因为这种鱼比较擅长捕食小鱼，所以用诱饵鱼来钓是最合适的。",4946,18,2,134,true
38,"细长的身体两侧长有巨大的鱼鳍，能够在被大型鱼追赶的情况下跳出海面滑翔逃走。人们将它们在海面上飞翔的样子比喻成“海洋女神投掷的飞刀”。",4882,18,1,138,true
39,"据传言说，当初格里达尼亚为了保证战乱中被包围情况下的食物，特地将很多这种鱼放到了护城的翡翠湖中。",4947,19,3,132,true
40,"原产于南洋海区的暖水鱼，偶尔会随海流游到艾欧泽亚海区，所以这边也能钓到。",4883,19,1,134,true
41,"通过不断的人工选种培养出来的观赏鱼，通体散发出铜黄色的光辉，很受乌尔达哈贵族喜爱。",4948,20,3,140,true
42,"在河流中出生，在海洋中成长，随后再回到河流中产卵并迎接死亡。这种鱼经常被视作生命循环的象征。",4949,20,2,139,true
43,"据说这种贝类有种受到惊吓就会跳起来的习性，有些海鸟就会先往折刀贝的巢穴里丢小石头，等它们受到惊吓跳出来时趁机捕食。",4884,20,0,135,true
44,"经常将身形隐藏在泥土下面来躲避天敌的捕食，不过也正因为这一习性一开始让人误以为是“一种泥土里产生的巨像兵”。",4950,21,2,141,true
45,"在水中游泳的时候会挥舞着数量众多的触手，看上去就像是在跳舞一样。不过关于这一动作即使是专家们也有着不同的简介，到底是求爱的行为还是除去废质的行为一直争执不下。",4885,21,1,135,true
46,"一种经过品种改良的观赏鱼，从正上方看下去有着美丽至极的金银铜三重色。不过这种鱼只能通过人工培育才能产生，纯靠自然繁殖无法得到。",4951,21,2,148,true
47,"深红的甲壳犹如鲜血，据传说这种蝲蛄是太阳女神阿泽玛流淌的鲜血孕育出的生物。",4952,22,2,140,true
48,"身体的颜色像翡翠一样深，不过据说根据食性和栖息水域不同，体表的颜色也会有些微妙的区别。",4953,22,2,139,true
49,"带有沉默毒素的鱼，非常危险。据说曾经有一个家庭不小心将这种鱼端上了餐桌，结果吃完之后大家都不会说话了，家族间的联系也随之切断，最后导致整个家族彻底离散。",4886,22,0,137,true
50,"由于会在体内积聚杂质，所以不太适合使用。不过这种特性多少也会对栖息水域的水质有所帮助。",4954,23,3,139,true
51,"一种只能在暖水中生存的鱼类，而且用拟饵也很好上钩，非常受到捕鱼人初学者的喜爱。尤其是钓上鱼之后还能够顺势在附近的温泉享受一下。",4955,23,2,139,true
52,"玻璃一样几乎透明的身体使得这种鱼的存在感十分稀薄，直到今年才被人正式发现。",4956,24,2,134,true
53,"过去曾经有过一段时期盛传“吃了这种鱼会提高视力”，可是后来由于是在太难吃而不了了之了。",4957,24,2,139,true
54,"这种鱼的鳍像刀剑一样锐利，也正因此得到了刀鳍的名字。其锋利程度甚至能够割破渔网逃生。",4887,24,1,138,true
55,"白天待在巢穴中一动不动，夜晚才回出来寻找食物。另外，这种鳗鱼是做鳗鱼派的绝佳材料。",4958,25,2,153,true
56,"从南方大陆带回来的品种，南方大陆虽然有很多生物已经绝种了，不过这种鱼的生命力仍然很顽强。即使来到新世界之后它们也在努力地繁殖后代。",4959,25,3,141,true
57,"迷人的蓝色会令人印象深刻。人们对这种颜色冠以其生息的海洋的名字——“罗海蓝”。",5461,25,1,137,true
58,"一种巨大的鱼，虽然经常有人会将这种鱼称为“海中的食人魔”，不过跟真正的食人魔比起来应该还是这种鱼比较好对付。",4888,25,1,134,true
59,"长着犹如盾牌一样的外壳，因此得到了传说中的“圣盾”之名。根据博物学家们的研究，这种虾可能是相当古老的一个物种。",4960,26,3,141,true
60,"有着奇特嘴型的小鱼，主要靠吃水藻为生。通常最大也只能成长到5星寸左右。",4961,26,3,153,true
61,"这种鱼俗称“钓手鱼”，能够靠头上的发光突起吸引小鱼靠近之后捕食。对捕鱼人来说是很有缘分的鱼吧。",4889,26,1,140,true
62,"在给这种鱼起名的时候，学会里就“海马”和“海龙”两个名字争论不休，可是这群人里明明谁都没见过马和龙长什么样子……",4890,26,0,137,true
63,"据说这种鱼的名字是因为最早在树上发现的而得名的，以为这种鱼有着爬树的能力。不过后来发现其实是被鸟抓上去的……",4962,27,3,153,true
64,"潜藏在湖泊底部的大型鱼，嘴边的胡须有着感知器的作用，能够察觉到猎物引起的震动，并且能够将眼前的猎物一口吞下。",4963,27,3,154,true
65,"有着招牌性的樱花色体表，以手指虾为主食。其中以比阿纳可岛产的鲷鱼最为美味。",4891,27,1,137,true
66,"一种很可怕的鱼，能够放电将猎物击晕。每年都会有一些人因为不小心靠近了这种鱼而遭到电击。",4964,28,3,153,true
67,"扁平的身体好像鞋底一样，烧烤之后浇上金钱蘑汤汁是不可多得的美味。",4892,28,0,135,true
68,"嘴里生有很多刺，能够吸附在猎物的身体上吸取体液。据说曾经是乌尔达哈王侯贵族专享的食物。",4965,29,2,146,true
69,"这种淡水鱼总是身披动物的头骨，不过不知道具体的动机是什么。可能是在争夺地盘的时候身体大的个体会因为披着的头骨比较大而有更多的优势。",4966,29,2,146,true
70,"一种头部像锤子一样的鲨鱼，基本是群体行动，最大的鱼群甚至能够超过100条。",4893,29,1,138,true
71,"作为食材非常受欢迎的一种淡水鱼。每年都成群结队沿着河流洄游，无论是对魔物还是野兽来说都是贵重的食物。",4967,28,2,145,true
72,"北洋之民的传统中有将这种海参切片生吃的习惯，据说口感非常特别。",4894,30,0,137,true
73,"嘴型很特别，能够吸附在岩石表面上。身上的斑纹也非常美丽。",4968,30,3,152,true
74,"能够发光的一种水藻，关于发光的原理现在学术界还没有任何定论，不过有种说法是可能是彷徨在现世的亡灵的杰作。",5544,31,3,135,true
75,"无论是作为食材还是作为大型鱼的钓饵都十分合适，是一种重要的海洋资源。是捕鱼人行会中捕捞量最高的鱼种。",4895,31,0,137,true
76,"细长的身体好像带子一样，并且被坚硬的鳞片牢牢地包裹着。偶尔会浮到水面上进行换气。",4969,32,3,146,true
77,"味道肥美的大型鱼，是猫魅族最喜欢的食物。据说在东方人们还有生吃的文化，钓上这种鱼后就立刻切开处理。",4896,32,1,137,true
78,"在神握角发现的鱼，据说有很强的耐毒性，并且可以作为推测水质的依据。",4970,32,3,135,true
79,"因为这种蜗牛总是附着在动物残骸的白骨上，所以有人认为它们是“妖异的爪牙”。",4971,33,3,145,true
80,"蔓根沼的特有品种，能够依靠胸鳍离开水面跳跃前进。",4972,33,3,153,true
81,"在海马与海龙的命名之争中，海龙派最终没能获取胜利，于是他们顽强地找到了这种和海马有近亲关系的新生物，终于用上了海龙这个名字。",4897,33,0,135,true
82,"尖尖的下颚能够将小型的鱼和虫子整个吞下去。据说是非常古老的鱼种，从古到今一直没有改变形态。",4973,34,3,153,true
83,"经常深夜里成群在海面游泳，水面在月光的照耀下会显出乳白色的光辉。据说这种鱼接受过月亮神梅茵菲娜的祝福。",4898,34,0,137,true
84,"钳子上生有细小的绒毛，看上去有点像耐热手套。",4974,34,2,137,true
85,"这种鱼的肉非常紧，即使煮很久也不会煮烂，所以经常会用到煮菜。据说曾是北海的明君所喜好的食物。",4899,34,1,140,true
86,"据说，这种观赏鱼最早是由一位名叫蒙凯·恩凯的拉拉菲尔人从南洋带到艾欧泽亚来的，并作为友好的礼物赠送给了黑衣森林的角尊。",4975,33,2,148,true
87,"只生活在河流及湖泊等内陆地区的淡水鱼。警戒心很强，对于钓者来说技术要求非常高。",4976,35,2,155,true
88,"这种贝虽然不适合食用，但是却能够产生出稀有的白珍珠。现在人们都急于确立一种养殖法来保证珍珠的产量。",4900,35,0,137,true
89,"所谓“沙海”，便是由非常细小的沙粒形成的沙漠。其中生存着很多沙海鱼，这种鱼在沙海鱼中处于食物链的最底层。",4977,35,4,146,true
90,"通过不断的人工选种培养出来的观赏鱼，通体散发出银白色的光辉，据说是三代养殖人员几十年的心血结晶。",4978,36,3,137,true
91,"身上显眼的花纹好像小丑的服装，是一种十分贵重的观赏鱼。",4979,36,3,146,true
92,"这种沙海鱼能够通过振动细小的鳍使沙粒液化。虽然看上去很像鲷鱼，不过其实关系并不是很近。",5032,36,4,146,true
93,"通过吸盘吸附在鲸鱼及鲨鱼的小型寄生鱼。一说这种鱼通过停止时间来吸附到大型鱼的身上，所以使用了光阴神最喜欢的花来命名。",4901,36,1,137,true
94,"因为鳞片过于坚硬，导致很少有大型鱼有勇气对铠甲琵琶鱼发动攻击。也正因为如此，这种鱼有着足够的时间成长到相当大的尺寸。",4980,37,3,153,true
95,"在淡水鱼中属于相当大型的一种鱼类。体型巨大的同时食量也非常巨大，钓鱼的时候用大一些的活饵比较容易钓到。",4981,37,3,156,true
96,"一种大型沙海鱼，捕食的对象除了小型沙海鱼及虫子之外，有时甚至还会对陆地上的魔物发起进攻。肉质肥厚鲜美，但是经常混有大量的沙子导致烹饪起来十分麻烦。",5033,37,4,146,true
97,"愤怒的时候会像气球一样膨胀起来，配上全身的棘刺，样子十分恐怖。别名“海上爆弹”。",4902,37,0,137,true
98,"一种杂食性的淡水鱼，用拟饵也能轻易钓到。在格里达尼亚地区，这种鱼是制作烤鱼的固定食材。",4982,38,2,153,true
99,"主要栖息在河口等淡水海水交汇的水域。身上的斑点显得十分可爱，作为观赏鱼非常受欢迎，可是却十分难以饲养。",4983,38,2,137,true
100,"能够十分迅速地潜藏到沙中，旁人看来就像妖术一样。因此得到了与东方的暗杀术相同的名字。",5034,38,4,146,true
101,"鳅鱼种出现这种闪着金光的品种实在非常罕见，可能是突发变异产生的吧。",4984,39,3,155,true
102,"这种沙海鱼有着非常强的滑翔能力，能够乘着沙尘暴飞出相当远的距离。绿洲的居民都用这种鱼的名字来形容有勇无谋的人。",5035,39,4,146,true
103,"冠以商贸神之名，周身闪着黄金光芒的鳗鱼。因为过于显眼逐渐养成了夜行的习性。",4985,39,2,145,true
104,"阿巴拉提亚地区的居民都很清楚如何用拟饵来钓这种鱼。因为身体是鲜血一样的红色，过去曾被误认为吸血鱼。",4986,40,2,155,true
105,"扁平的身体却有着鲜艳的色彩，外型非常漂亮。据说是随着贸易船从南洋群岛来到艾欧泽亚地区的。",4987,40,2,137,true
106,"在大作家戴文公卿的旅行记<<地底都市见闻记>>中有所记载，书中说这种蛞蝓是地下世界的使者，不过貌似没有人相信。",5036,40,4,146,true
107,"犹如鲜血一般红的珊瑚，象征着生命力。在拉诺西亚经常被用来当做祝贺得子的礼品。",5462,40,0,138,true
108,"石绿湖地区特有的品种，经常被附近的鸟类捕食。",4988,41,3,139,true
109,"蜥蜴人族认为这种蜗牛火红色的背壳是从火神伊弗利特的爪子上产生的，因此视其为神圣的食物。",4989,41,3,156,true
110,"这种沙海鱼能够登上沙丘顶端乘风滑翔，之后直接将猎物包裹住现场捕食。",5037,41,4,146,true
111,"虽说平时这种鲨鱼都只是以中型鱼类为目标，不过也罕见地出现过袭击人类的情况。所以还是不要在它们的活动范围内游泳比较好。",4903,41,1,134,true
112,"在乌尔达哈先王萨萨巴尔陛下的加冕仪式上，有一位商人献上了这种观赏鱼，于是后来人们就给这种鱼加上了“王家”的名字。",4990,42,3,145,true
113,"一种有着雷电花纹的罕见淡水鱼。据说黑衣森林中的护月之民认为这种带有雷电花纹的鱼是强力的象征。",4991,42,2,180,true
114,"传说中当初龙族挥血创造眷属时，无意中将一滴血溅到了河流里，于是变成了这种鱼。因此这种鱼为了能够更加接近飞在空中的龙，奋力练出了能够攀登瀑布的力量。",4992,43,2,152,true
115,"身上的鳞片闪耀着金属的光辉，整体的形状犹如一把刀，于是因此得名。不过看起来锋利度不太行。",4993,43,2,145,true
116,"有着锐利的牙齿，尤其喜欢捕食甲壳类动物的大型鱼。虽然作为食物味道不很理想，不过吃下之后会令人充满力量，于是经常用作药用。",4904,43,1,138,true
117,"这种鱼一到下雨天就会异常兴奋，也就更容易上钩。因此，森林的居民们逐渐开始认为是这种鱼在祈求下雨了，",4905,43,2,133,true
118,"庞大 身体像橡树的跟一样，虽然肉比较厚，可以用作食用，不过因为水分太大了而没什么味道。",4994,44,2,154,true
119,"主要生息在溪流的中心地区，不过在艾欧泽亚的各地也都有所分部。平时主要躲藏在石头的缝隙中，以捕食小虫小鱼为生。",4995,44,2,139,true
120,"能够产生出黑珍珠的超罕见双壳贝类。因为整体来说黑珍珠数量都很少，所以被视作最高级的收藏品。",5466,44,0,138,true
121,"非常凶猛的食肉鱼，不仅仅是小鱼小贝，还有青蛙，甚至鼠类和低空捕食的鸟类都不放过，是北风狗鱼的亲属。",4996,45,2,153,true
122,"南方狗鱼的亲属，不过栖息地有所不同。要分辨着两种鱼很简单，尾巴红色的为北方，尾巴蓝色的为南方。",4997,45,2,155,true
123,"名字由地灵一族得来，不过具体出处呢，既有人说是“像地灵族一样小”，也有人说是“地灵族用炼金术给这种鱼上了色。”",4998,45,2,137,true
124,"古代种生物，被海盗们奉为圣物。其坚固的外壳经常被加工成酒杯，用来品尝庆祝胜利的美酒。",4906,45,0,138,true
125,"这种鱼能够利用喷水将水面上的飞虫击落。在利姆萨·罗敏萨，人们通常用这种鱼的名字称呼火枪名射手。",4999,45,3,137,true
126,"海月水母等浮空水母的亲属，将近一半的身体是用来储存飞行气体的气囊。",5038,45,5,155,true
127,"据说是哥布林族在巡礼途中抓获的鱼种，随后被带回了艾欧泽亚。哥布林族好像都非常喜欢吃这种鱼。",5000,46,2,153,true
128,"永恒川特有的一种淡水鱼，十分稀有，据说看到这种鱼跳出水面的身影会得到三天的好运气。",5001,46,2,137,true
129,"据说这种鱼的身长能够到达1星码。过去因为不太适合食用，所以即使钓到了也总是扔掉或用作田地里的肥料。不过近年来好像新创造出了很多配方。",4907,46,1,138,true
130,"领地意识非常强，能够像暗杀者一样将其他鱼逐个排除。也正因为这个习性，利用以小钓大的方式来钓这种鱼成功性最高。",5002,47,3,156,true
131,"耐毒性很高，即使在水质很差的环境也能生存。不过在这种环境中也会在体内积攒毒素，所以这种鱼无法食用。",5003,44,3,147,true
132,"虽然很久以前就有过这种鱼的记录，不过因为没有任何标本所以一直有人对其真实性表示怀疑。别名“飞天杖”",5039,47,5,155,true
133,"这种鱼成熟之后头上会有一块显眼的突起，同类之间会利用这块突起互相冲撞进行激烈的决斗。",4908,47,1,138,true
134,"利用上升气流飞上天空，之后再急速降下捕食猎物。其速度之快甚至能够穿透飞空艇的气球。",5040,48,5,155,true
135,"在能够发电的鱼种魔力最强的一种。因此得到了强力雷魔法“震雷”之名。",5004,48,3,156,true
136,"力量非常大，即使上钩了想要成功钓起来也需要相当的技术。据说有博物学家认为这也是一种古代鱼。",5005,48,3,147,true
137,"这种云海鱼的扁平身体有着能够承受大气中风属性以太的功能，同时会像蝙蝠一样利用超声波来定位周围的情况。",5041,48,5,155,true
138,"通常在水比较浅的近海处栖息，在海底一动不动地等待猎物的靠近。",4909,48,0,138,true
139,"由北洲伊尔萨巴德大陆引进的品种，据说如果与其红色的眼睛目光交汇会招来不幸。",5006,48,3,156,true
140,"蜥蜴人族最喜欢吃的鱼类。他们将这种鱼从帕戈尔赞带到了萨纳兰。",5007,49,2,146,true
141,"这种鱼最为出名的习性便是会围绕产卵场所展开激烈的竞争。犹如竞技场内的格斗家一般用身体互相较量。",5008,49,2,153,true
142,"能够捕捉风属性以太的皮膜犹如帆船上的船帆。据说看到其美妙身影的人会交到好运。",5042,49,5,155,true
143,"无论任何人看到这种鱼都会感到背后发寒，但是味道却十分鲜美。",4910,49,0,138,true
144,"身上的斑点犹如繁星点点。人们通常都认为这种鱼是行星神妮美雅的杰作。",5009,50,2,155,true
145,"犹如战争女神哈罗妮一般勇猛善战，在伊修加德还有骑士将这种鱼作为自己的纹章。",5010,50,2,155,true
146,"当初从远东引进时价格非常高，不过随着大量繁殖现在的价格已经降低了很多。贵族们很喜欢在自家庭院的水池中饲养。",5011,50,3,156,true
147,"撒沟厉沙漠中生息的沙海鱼，经常用其发光的拟饵器官勾引行人，一旦有人误以为那是宝石便会遭到袭击。",5043,50,4,146,true
148,"在民间传说中，曾经有一位国王被难吃的鱼激怒，连盘子一起丢入了云海，而这却成为了这种鱼转生的契机。",5044,50,5,155,true
149,"以味道鲜美而闻名的大型龙虾。各地的美食家们经常争论如何烹调这种虾才会得到最鲜美的味道。",4911,50,0,140,true
150,"口中有着密密麻麻小刺的怪鱼，能够附着在猎物身体上吸光鲜血。即使是野兽和魔物也难逃它的魔爪。",5012,50,2,137,true
151,"在传说中，山岳与放浪之神奥修昂曾有过在山中迷路的经历，当时为这位大神知名方向的，正是这种鱼的祖先。",5013,50,2,155,true
152,"平时多栖息在河流入海口，偶尔会活动到沿岸地区。因为被网捕住后反而会吃掉其他落网的鱼，所以捕鱼人都很讨厌它。",4912,50,1,138,true
153,"想要在这种虾切断钓线之前将它回收需要相当的拉竿收线技巧。可以说是对捕鱼人技术的最大考验。",5014,50,3,155,true
154,"每年都会有些捕鱼人被这种鱼咬伤。伤痕犹如被长须豹咬过一样痛。",5015,70,3,139,true
155,"这种鱼被认为是传说中的大海蛇萨拉奥斯之子。平时主要在神海活动，身上的肉几乎没有能够食用的部分。",4913,55,1,137,true
156,"据说曾经有人因为被愿贝夹住了脚，无法脱身而在涨潮时被溺死了。不过实际上这种贝不会那么快关上贝壳的。",4914,55,0,135,true
157,"生命中的大部分时间都在睡觉，可以说是懒汉的象征。只有在黎明左右的短暂时间带里会开始觅食之类的活动。",5016,55,2,180,true
158,"这种鱼的身上有着像太阳一样的黄色斑纹。据说蜥蜴人族视其为火神伊弗利特祝福过的圣物。",5017,55,2,145,true
159,"这种鱼大多栖息在南洋水域，名字中的“麻希”是拉拉菲尔族古语中“力量强大”的意思。",4915,55,1,135,true
160,"生性喜欢水温较低的海底，在换季时会随海流移动到更容易生活的海域。",4916,55,1,138,true
161,"凶猛的巨鱼，沙漠之民经常用这种鱼来吓唬那些不听话的孩子。",5018,55,3,147,true
162,"这种鱼的体型加上外表简直和制法已经失传的“乌兹钢匕首”一模一样，因此得名。",5019,55,3,147,true
163,"身体巨大得出奇，据说要将这种鱼钓起来需要几个人的力量。",5020,55,3,139,true
164,"在撒沟厉沙漠产卵，在大尾流成长，由于其洄游路线和东方的贸易路线基本重合，因此也有“商队鱼”的别名。",5045,55,4,146,true
165,"游泳速度极快的大型海鱼。传说中由于这种鱼偷看过海洋女神利姆莱茵入浴，因此被施以了直至死亡都无法停止的诅咒。",4917,50,1,137,true
166,"主要栖息在深海区，只有繁殖期时会出现在海岸附近。也是一种非常著名的古代鱼种。",4918,55,0,138,true
167,"外皮有着惊人的腐臭味道，没有任何人会想要将其当作食物。不过貌似里面的肉既没有毒也没有臭味，非常清淡。",5021,70,3,156,true
168,"潜藏在库尔札斯云海中的大型食肉生物。伊修加德的居民中很多人都认为其是龙族的眷属。",5046,70,5,155,true
169,"虽然偶尔能够在海岸打捞到这种大乌贼的尸体，不过抓到活的乌贼至今仍是最难的工作。",4919,55,1,138,true
170,"恶名昭彰的大章鱼，其能够将航船击沉的传说不仅在艾欧泽亚流传，甚至东方地区也有所耳闻。",4920,70,1,138,true
171,"非常罕见的海鱼，只有极少的人见过其在海面软绵绵地漂浮着。据说这种鱼曾经帮助过落水者返回岸边，因此深受广大水手喜爱。",4921,50,1,138,true
172,"有着强韧的剑状颚，即使巨大的鲨鱼也不过是这种鱼的盘中餐。被鱼人族视为圣物。",4922,70,1,137,true
173,"甲壳上的蘑菇能够令人产生幻觉，吃下后会说出“我变成了妖精，和空中的鳗鱼派一起起舞，并且领略到了42的终极真理”之类的胡话。",5022,55,3,152,true
174,"因为这种鱼经常在天候大乱时出来活动，因此被冠上了“雷神”之名。同时还有个别名“呼风唤雨者”。",5023,55,3,153,true
175,"在各种雀鳝中体格最为巨大，绝对不是技术一般的捕鱼人能够钓上的。",5024,55,3,156,true
176,"据说其黑色的鱼子蘸上食盐有着绝妙的味道。不过也正是因为这点，现在这种鱼的数量在急剧减少。",5025,55,2,155,true
177,"根据角尊听取到的元灵的说法，这种鱼从世界开辟之时就一直保持着这种姿态，从来没有改变。",5026,55,2,154,true
178,"非常长寿的鱼种，据说甚至能够活1000年，不过现在还无法证实真伪。通常都作为长寿的象征。",5027,70,2,156,true
179,"到处都有食人传说的凶残鲨鱼。据说即使是勇猛无比的北海之王，在打退这条鱼时也损失了一条手臂。",4923,70,1,138,true
180,"传说中这种鱼曾经锯穿过一条载有上百人的大船，因此水手们都认为其是不吉利的鱼。也正因为如此，能够成功收复这种鱼的捕鱼人会得到各处的尊敬。",4924,70,1,140,true
181,"在很久很久以前，一位来自远东旅行者将一颗干燥的卵当作“宝石”献给了当时的幻术皇。随后从那颗卵中孵化出了这种鱼。",5028,70,3,153,true
182,"体型非常巨大，身长甚至能超过精灵族人。经常有人会将这种鱼误认为是一条大蛇。",5029,70,3,154,true
183,"活了100年以上的超稀有大鱼。鱼卵味道十分鲜美，可是却有着致命的剧毒。",5030,70,2,156,true
184,"传说中的大鱼，据说这种鱼能够成长到像原牛一样大，现在这些鱼就潜藏在接雨草树林里……",5031,55,2,137,true
185,"在当年祭典时从近东岛屿运来的渡渡鸟蛋中，有一批精金龟的蛋混了进去，后来这些小龟在艾欧泽亚逐渐成长并野性化了。",6185,50,0,135,true
186,"现在看起来很可爱，可是过不了多久就会长出四肢，并且变得越来越恶心……真是越想心情越复杂……",6191,50,3,145,true
187,"一种成长到了异常尺寸的个体，并且带有致命的毒素，一旦吃下去必定会葬送性命。也正因如此，这种鱼得到了传说中的死亡天使的名字。",7678,70,1,134,true
188,"无赖川的霸王，即使度过了繁殖期也会保留吸引雌性的妖艳体色，持续不断地诱惑着周围的异性。",7679,70,2,134,true
189,"非常长寿的大型鲽鱼，有传说这种个体就是被山岳神奥修昂踩踏之后转生的个体。",7680,70,0,135,true
